date,usd_mxn,udi,cetes_28d_carry,tiie_28d_carry,policy_rate_carry
2020-09-08,21.7138,6.533197,121.7955882457823,123.20227442990095,122.24463660052658
2020-09-09,21.5377,6.534183,121.8105082053424,123.2185405524111,122.25991718010162
2020-09-10,21.2773,6.53517,121.82542999259755,123.23480608431147,122.27519966974913
2020-09-11,21.321,6.535893,121.84035360777166,123.25107034016337,122.29048406970784
2020-09-14,21.0728,6.538062,121.8851354230469,123.29987085115745,122.33634873383924
2020-09-15,21.0692,6.538786,121.90020178006449,123.31612588413132,122.35164077743097
2020-09-17,20.985,6.540233,121.93034008143724,123.34861634239206,122.38223059936968
2020-09-18,20.9697,6.540956,121.94541202625287,123.36486238306952,122.3975283781946
2020-09-21,21.505,6.543127,121.99063903998002,123.41356398572496,122.4434331889596
2020-09-22,21.5682,6.543851,122.00571843841692,123.42979115531179,122.45873861810821
2020-09-23,22.0897,6.544575,122.02012189128813,123.44601702994076,122.47404596043548
2020-09-24,22.3678,6.545299,122.03452704456697,123.46223303590006,122.48935521618051
2020-09-25,22.4402,6.546024,122.04893389845417,123.4784460277522,122.50466638558252
2020-09-28,22.4573,6.548157,122.09216466577382,123.52537892716167,122.54805857721358
2020-09-29,22.3598,6.548868,122.10657832410241,123.54099116255387,122.56252605635116
2020-09-30,22.1438,6.549579,122.1207562545856,123.55660365531203,122.57699524345504
2020-10-01,21.9562,6.55029,122.13493583128408,123.57221468897109,122.59146613872684
2020-10-02,21.7025,6.551002,122.14911705438894,123.58782838155318,122.60593874236822
2020-10-05,21.396,6.553136,122.19167060405374,123.63463803063068,122.64936680552678
2020-10-06,21.4507,6.553848,122.20585841469611,123.65023831794329,122.66384624466356
2020-10-07,21.493,6.55456,122.22031944127521,123.66584229107322,122.67832739317855
2020-10-08,21.4318,6.555272,122.23478217907578,123.68144651575675,122.69281025127357
2020-10-09,21.1822,6.555984,122.2492466283003,123.69705270939,122.70729481915046
2020-10-12,21.2183,6.556413,122.29265024654308,123.743847019064,122.75075878349088
2020-10-13,21.3677,6.556271,122.30712154348893,123.75943358779477,122.76525019251395
2020-10-14,21.2998,6.55613,122.32145865606986,123.77503071418887,122.77974331232832
2020-10-15,21.3832,6.555988,122.335797449279,123.79062533660029,122.79423814313604
2020-10-16,21.1765,6.555847,122.35013792331335,123.80620576225027,122.80873468513904
2020-10-19,21.1342,6.555422,122.39316943233804,123.85295467809334,122.85223458034015
2020-10-20,21.0902,6.555281,122.40751663164373,123.86852402660433,122.86673796914478
2020-10-21,21.064,6.555139,122.42159349605639,123.88409361191601,122.88124307015502
2020-10-22,21.03,6.554998,122.43567197930845,123.89966515423806,122.89574988357303
2020-10-23,20.9205,6.554856,122.44975208158608,123.9152238546898,122.91025840960094
2020-10-26,20.9818,6.5568,122.49200210443443,123.96192717302338,122.95379426536617
2020-10-27,20.8798,6.559027,122.50608868467646,123.9774998901245,122.96830964385583
2020-10-28,21.1648,6.561255,122.52044912062783,123.99307111972877,122.98282673596657
2020-10-29,21.377,6.563484,122.53481123994143,124.00862605050077,122.99734554190067
2020-10-30,21.2508,6.565713,122.54917504281457,124.02418052135995,123.01186606186047
2020-11-03,21.1555,6.574639,122.6066470938499,124.08637656035657,123.06996528600406
2020-11-04,21.0345,6.576872,122.62112148968735,124.10194250692732,123.08449437912812
2020-11-05,20.7612,6.579106,122.63559759430767,124.11749316977867,123.09902518749232
2020-11-06,20.62,6.581341,122.65007540791255,124.13302854267374,123.11355771129917
2020-11-09,20.36,6.58805,122.6935191046523,124.17961528837391,123.15716557740097
2020-11-10,20.4018,6.590288,122.70800375621327,124.19513774028495,123.17170496500387
2020-11-11,20.5772,6.590999,122.72211517664525,124.21066454740794,123.18624606906224
2020-11-12,20.5303,6.59171,122.73622821989056,124.22618639509126,123.20078888977872
2020-11-13,20.4833,6.592421,122.75034288613587,124.24169051329885,123.21533342735597
2020-11-17,20.3212,6.595266,122.80681778485001,124.3038920562474,123.27352875032686
2020-11-18,20.2388,6.595977,122.82128169894469,124.31943867496915,123.28808187524878
2020-11-19,20.1858,6.596689,122.83574731656701,124.33497342482691,123.30263671824795
2020-11-20,20.1172,6.597401,122.85021463791766,124.35049871850856,123.31719327952719
2020-11-23,20.1012,6.599536,122.89362682634606,124.397058246224,123.36087327507398
2020-11-24,20.0577,6.600248,122.90810096461672,124.41258196245097,123.3754367115023
2020-11-25,20.0465,6.60096,122.92271337217583,124.42809897614575,123.3900018672252
2020-11-26,20.0467,6.601154,122.93732751698785,124.44360928431675,123.40456874244563
2020-11-27,20.0777,6.601348,122.9519433992593,124.45910769882302,123.4191373373666
2020-11-30,20.1398,6.60193,122.99580147289606,124.50563527284653,123.46285344236314
2020-12-01,20.0508,6.602124,123.01042430707116,124.52115420858532,123.47742891811674
2020-12-02,20.0497,6.602318,123.02528806667495,124.53667957527045,123.49200611458625
2020-12-03,19.9083,6.602512,123.04015362231632,124.55220826140783,123.50658503197477
2020-12-04,19.7838,6.602706,123.05502097421237,124.5677236607953,123.52116567048547
2020-12-07,19.8213,6.603288,123.09963380959891,124.61426068992989,123.5649179147828
2020-12-08,19.7537,6.603482,123.11450834868425,124.62977689613939,123.5795054398144
2020-12-09,19.8368,6.603676,123.12907689883885,124.64529295716915,123.59409468698436
2020-12-10,19.9572,6.60387,123.14364717293856,124.6607957154807,123.60868565649604
2020-12-11,20.1075,6.60343,123.15821917118737,124.67630282590774,123.62327834855269
2020-12-14,20.1778,6.602107,123.20194551286876,124.7228284575453,123.66706676202645
2020-12-15,20.1113,6.601667,123.21652440975446,124.73833046576566,123.68166634629698
2020-12-16,19.9513,6.601226,123.23100235137261,124.75382227341876,123.69626765412953
2020-12-17,19.8173,6.600785,123.24548199414889,124.76941650120293,123.7108706857276
